организовать         Nom: 0.336 , Gen: 0.0   , Dat: 0.00302, Acc: 0.522 , Ins: 0.134 , Loc: 0.0   , 
выполнить            Nom: 0.369 , Gen: 0.0   , Dat: __0.0   , Acc: 0.56  , Ins: 0.0629, Loc: 0.0   , 
задержать            Nom: 0.558 , Gen: 0.0   , Dat: 0.0   , Acc: 0.31  , Ins: 0.12  , Loc: 0.0   , 
смочь                Nom: 0.932 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0191, Ins: 0.0416, Loc: 0.0   , 
изменить             Nom: 0.239 , Gen: 0.0   , Dat: 0.0164, Acc: 0.692 , Ins: 0.0503, Loc: 0.0   , 
смотреть             Nom: 0.412 , Gen: 0.0   , Dat: 0.02  , Acc: 0.443 , Ins: 0.113 , Loc: 0.0   , 
подготовить          Nom: 0.338 , Gen: 0.0   , Dat: 0.00365, Acc: 0.481 , Ins: 0.174 , Loc: 0.0   , 
выступить            Nom: 0.78  , Gen: 0.0   , Dat: 0.0   , Acc: 0.0   , Ins: 0.206 , Loc: 0.0   , 
входить              Nom: 0.963 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0   , Ins: 0.0175, Loc: 0.0   , 
включить             Nom: 0.418 , Gen: 0.0   , Dat: __0.0   , Acc: 0.55  , Ins: 0.0231, Loc: 0.0   , 
отдать               Nom: 0.173 , Gen: 0.0   , Dat: 0.222 , Acc: 0.578 , Ins: 0.0183, Loc: 0.0   , 
передавать           Nom: 0.475 , Gen: 0.0   , Dat: 0.0985, Acc: 0.395 , Ins: 0.0281, Loc: 0.0   , 
помочь               Nom: 0.507 , Gen: 0.0   , Dat: 0.453 , Acc: 0.0   , Ins: 0.0299, Loc: 0.0   , 
держать              Nom: 0.166 , Gen: 0.0   , Dat: 0.0   , Acc: 0.797 , Ins: 0.0252, Loc: 0.0   , 
приводить            Nom: 0.484 , Gen: 0.0   , Dat: 0.0038, Acc: 0.488 , Ins: 0.0169, Loc: 0.0   , 
иметься              Nom: 0.974 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0   , Ins: 0.0   , Loc: 0.0   , 
хотеть               Nom: 0.705 , Gen: 0.129 , Dat: --0.00559, Acc: 0.0834, Ins: 0.0751, Loc: 0.0   , 
добиться             Nom: 0.113 , Gen: 0.848 , Dat: 0.0   , Acc: 0.0   , Ins: 0.0304, Loc: 0.0   , 
оценить              Nom: 0.28  , Gen: 0.0   , Dat: 0.0   , Acc: 0.675 , Ins: 0.0345, Loc: 0.0   , 
сохранить            Nom: 0.17  , Gen: 0.0   , Dat: 0.00918, Acc: 0.802 , Ins: 0.0148, Loc: 0.0   , 
прекратить           Nom: 0.322 , Gen: 0.0   , Dat: 0.0   , Acc: 0.658 , Ins: 0.0162, Loc: 0.0   , 
приобрести           Nom: 0.309 , Gen: 0.0   , Dat: 0.00201, Acc: 0.62  , Ins: 0.0569, Loc: 0.0   , 
объяснить            Nom: 0.325 , Gen: 0.0   , Dat: 0.078 , Acc: 0.412 , Ins: 0.183 , Loc: 0.0   , 
собрать              Nom: 0.302 , Gen: --0.0536, Dat: 0.0024, Acc: 0.569 , Ins: 0.0726, Loc: 0.0   , 
призвать             Nom: 0.477 , Gen: 0.0   , Dat: --0.0041, Acc: 0.484 , Ins: 0.0282, Loc: 0.0   , 
ожидать              Nom: 0.341 , Gen: 0.502 , Dat: 0.0   , Acc: 0.143 , Ins: 0.0125, Loc: 0.0   , 
выбрать              Nom: 0.284 , Gen: 0.0   , Dat: 0.00357, Acc: 0.583 , Ins: 0.123 , Loc: 0.0   , 
означать             Nom: 0.527 , Gen: 0.0   , Dat: 0.0   , Acc: 0.459 , Ins: 0.0   , Loc: 0.0   , 
брать                Nom: 0.211 , Gen: 0.0   , Dat: 0.00209, Acc: 0.745 , Ins: 0.03  , Loc: 0.0   , 
пойти                Nom: 0.826 , Gen: 0.0   , Dat: 0.023 , Acc: 0.0199, Ins: 0.12  , Loc: 0.0   , 
обратить             Nom: 0.248 , Gen: 0.0   , Dat: --0.00212, Acc: 0.726 , Ins: 0.0196, Loc: 0.0   , 
увеличить            Nom: 0.232 , Gen: 0.0   , Dat: 0.00521, Acc: 0.74  , Ins: 0.0126, Loc: 0.0   , 
называться           Nom: 0.71  , Gen: 0.0   , Dat: 0.0   , Acc: 0.0   , Ins: 0.282 , Loc: 0.0   , 
выражать             Nom: 0.235 , Gen: 0.0   , Dat: 0.0203, Acc: 0.716 , Ins: 0.0267, Loc: 0.0   , 
выглядеть            Nom: 0.811 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0132, Ins: 0.168 , Loc: 0.0   , 
возбудить            Nom: 0.642 , Gen: 0.0   , Dat: 0.0   , Acc: 0.301 , Ins: 0.0541, Loc: 0.0   , 
относиться           Nom: 0.966 , Gen: 0.0   , Dat: --0.00644, Acc: 0.0   , Ins: 0.014 , Loc: 0.0   , 
лишить               Nom: 0.157 , Gen: 0.677 , Dat: 0.0   , Acc: 0.146 , Ins: 0.0186, Loc: 0.0   , 
подчеркнуть          Nom: 0.671 , Gen: 0.0   , Dat: 0.0   , Acc: 0.306 , Ins: 0.0203, Loc: 0.0   , 
продолжаться         Nom: 0.895 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0646, Ins: 0.0237, Loc: 0.0   , 
войти                Nom: 0.941 , Gen: 0.0   , Dat: 0.002 , Acc: 0.0108, Ins: 0.0383, Loc: 0.0   , 
начинать             Nom: 0.614 , Gen: 0.0   , Dat: 0.0025, Acc: 0.34  , Ins: 0.0313, Loc: 0.0   , 
основать             Nom: 0.615 , Gen: 0.0   , Dat: 0.0   , Acc: 0.236 , Ins: 0.137 , Loc: 0.0   , 
отличаться           Nom: 0.53  , Gen: 0.0   , Dat: 0.0   , Acc: 0.0   , Ins: 0.459 , Loc: 0.0   , 
устроить             Nom: 0.305 , Gen: 0.0   , Dat: 0.0212, Acc: 0.618 , Ins: 0.0529, Loc: 0.0   , 
утвердить            Nom: 0.401 , Gen: 0.0   , Dat: 0.0   , Acc: 0.413 , Ins: 0.178 , Loc: 0.0   , 
осуществляться       Nom: 0.836 , Gen: 0.0   , Dat: --0.00226, Acc: 0.0   , Ins: 0.148 , Loc: 0.0   , 
утверждать           Nom: 0.872 , Gen: 0.0   , Dat: __0.0   , Acc: 0.0957, Ins: 0.0296, Loc: 0.0   , 
сыграть              Nom: 0.341 , Gen: 0.0   , Dat: 0.00335, Acc: 0.631 , Ins: 0.0206, Loc: 0.0   , 
выступать            Nom: 0.69  , Gen: 0.0   , Dat: 0.00233, Acc: 0.0295, Ins: 0.264 , Loc: 0.0   , 
купить               Nom: 0.163 , Gen: 0.0   , Dat: 0.0177, Acc: 0.74  , Ins: 0.041 , Loc: 0.0   , 
приветствовать       Nom: 0.251 , Gen: 0.0   , Dat: 0.0   , Acc: 0.722 , Ins: 0.0244, Loc: 0.0   , 
возникнуть           Nom: 0.97  , Gen: 0.0   , Dat: 0.0   , Acc: 0.0   , Ins: 0.0184, Loc: 0.0   , 
добавить             Nom: 0.551 , Gen: 0.0675, Dat: 0.035 , Acc: 0.315 , Ins: 0.0316, Loc: 0.0   , 
# снять квартиру детям
# выполнен + Ins
# подготовлен агенством
# осуществлен агенством
# продолжаться который год - у многих такой вин.п.
