стать                Nom: 0.418 , Gen: 0.0   , Dat: 0.00528, Acc: 0.0   , Ins: 0.567 , Loc: 0.0   , 
говорить             Nom: 0.818 , Gen: 0.0   , Dat: 0.0386, Acc: 0.0875, Ins: 0.0476, Loc: 0.0   , 
сказать              Nom: 0.725 , Gen: 0.0   , Dat: 0.118 , Acc: 0.0895, Ins: 0.0606, Loc: 0.0   , 
открыть              Nom: 0.33  , Gen: 0.0   , Dat: 0.0178, Acc: 0.608 , Ins: 0.0397, Loc: 0.0   , 
вести                Nom: 0.313 , Gen: 0.0   , Dat: 0.00262, Acc: 0.659 , Ins: 0.021 , Loc: 0.0   , 
вызвать              Nom: 0.323 , Gen: 0.0   , Dat: __0.0   , Acc: 0.491 , Ins: 0.181 , Loc: 0.0   , 
появиться            Nom: 0.963 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0   , Ins: 0.0235, Loc: 0.0   , 
проводить            Nom: 0.201 , Gen: 0.0   , Dat: __0.0   , Acc: 0.724 , Ins: 0.0684, Loc: 0.0   , 
делать               Nom: 0.245 , Gen: 0.0   , Dat: 0.0212, Acc: 0.671 , Ins: 0.0551, Loc: 0.0   , 
работать             Nom: 0.587 , Gen: 0.0   , Dat: 0.0028, Acc: 0.0495, Ins: 0.336 , Loc: 0.0   , 
давать               Nom: 0.25  , Gen: 0.0   , Dat: 0.116 , Acc: 0.613 , Ins: 0.0124, Loc: 0.0   , 
занимать             Nom: 0.259 , Gen: 0.0   , Dat: __0.0   , Acc: 0.715 , Ins: 0.0189, Loc: 0.0   , 
отметить             Nom: 0.673 , Gen: 0.0   , Dat: __0.0   , Acc: 0.252 , Ins: 0.0711, Loc: 0.0   , 
начаться             Nom: 0.951 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0   , Ins: 0.0402, Loc: 0.0   , 
занять               Nom: 0.302 , Gen: 0.0   , Dat: __0.0   , Acc: 0.58  , Ins: 0.108 , Loc: 0.0   , 
сообщать             Nom: 0.937 , Gen: 0.0   , Dat: 0.0254, Acc: 0.0272, Ins: __0.0   , Loc: 0.0   , 
показать             Nom: 0.477 , Gen: 0.0   , Dat: 0.0618, Acc: 0.398 , Ins: 0.054 , Loc: 0.0   , 
произойти            Nom: 0.941 , Gen: 0.0   , Dat: 0.0   , Acc: 0.0   , Ins: 0.0432, Loc: 0.0   , 
получать             Nom: 0.265 , Gen: 0.0   , Dat: 0.0   , Acc: 0.696 , Ins: 0.0261, Loc: 0.0   , 
называть             Nom: 0.225 , Gen: 0.0   , Dat: __0.0   , Acc: 0.357 , Ins: 0.414 , Loc: 0.0   , 
установить           Nom: 0.486 , Gen: 0.0   , Dat: 0.00458, Acc: 0.401 , Ins: 0.1   , Loc: 0.0   , 
проходить            Nom: 0.723 , Gen: 0.0   , Dat: 0.0   , Acc: 0.235 , Ins: 0.033 , Loc: 0.0   , 
оставаться           Nom: 0.645 , Gen: 0.0   , Dat: 0.017 , Acc: 0.0479, Ins: 0.272 , Loc: 0.0   , 
стоять               Nom: 0.863 , Gen: 0.0   , Dat: --0.0189, Acc: 0.028 , Ins: 0.0552, Loc: 0.0   , 
передать             Nom: 0.28  , Gen: 0.0   , Dat: 0.291 , Acc: 0.388 , Ins: 0.0323, Loc: 0.0   , 
обеспечить           Nom: 0.131 , Gen: 0.0   , Dat: 0.0434, Acc: 0.726 , Ins: 0.095 , Loc: 0.0   , 
достигнуть           Nom: 0.453 , Gen: 0.495 , Dat: 0.0   , Acc: 0.0   , Ins: 0.0416, Loc: 0.0   , 
включать             Nom: 0.336 , Gen: 0.0   , Dat: __0.0   , Acc: 0.653 , Ins: __0.0   , Loc: 0.0   , 
требовать            Nom: 0.383 , Gen: 0.558 , Dat: 0.0   , Acc: 0.0488, Ins: __0.0   , Loc: 0.0   , 
признать             Nom: 0.392 , Gen: 0.0   , Dat: 0.0   , Acc: 0.372 , Ins: 0.231 , Loc: 0.0   , 
становиться          Nom: 0.507 , Gen: 0.0   , Dat: 0.0052, Acc: 0.0131, Ins: 0.459 , Loc: 0.0   , 
отмечать             Nom: 0.703 , Gen: 0.0   , Dat: __0.0   , Acc: 0.282 , Ins: 0.0129, Loc: 0.0   , 
подписать            Nom: 0.38  , Gen: 0.0   , Dat: __0.0   , Acc: 0.536 , Ins: 0.0785, Loc: 0.0   , 
предложить           Nom: 0.374 , Gen: 0.0   , Dat: 0.246 , Acc: 0.292 , Ins: 0.0809, Loc: 0.0   , 
видеть               Nom: 0.177 , Gen: 0.0   , Dat: 0.0   , Acc: 0.75  , Ins: 0.0579, Loc: 0.0   , 
опубликовать         Nom: 0.53  , Gen: 0.0   , Dat: 0.0   , Acc: 0.417 , Ins: 0.0483, Loc: 0.0   , 
выразить             Nom: 0.283 , Gen: 0.0   , Dat: 0.0316, Acc: 0.645 , Ins: 0.0389, Loc: 0.0   , 
объявить             Nom: 0.581 , Gen: 0.0   , Dat: 0.027 , Acc: 0.222 , Ins: 0.166 , Loc: 0.0   , 
направить            Nom: 0.441 , Gen: 0.0   , Dat: 0.0923, Acc: 0.413 , Ins: 0.0387, Loc: 0.0   , 
продолжать           Nom: 0.564 , Gen: 0.0   , Dat: --0.00202, Acc: 0.404 , Ins: 0.0271, Loc: 0.0   , 
рассказать           Nom: 0.71  , Gen: 0.0   , Dat: 0.193 , Acc: 0.0815, Ins: 0.0129, Loc: 0.0   , 
увидеть              Nom: 0.134 , Gen: 0.0   , Dat: 0.0   , Acc: 0.823 , Ins: 0.0345, Loc: 0.0   , 
поставить            Nom: 0.289 , Gen: 0.0   , Dat: 0.0416, Acc: 0.591 , Ins: 0.0634, Loc: 0.0   , 
состояться           Nom: 0.96  , Gen: 0.0   , Dat: 0.0   , Acc: 0.0   , Ins: 0.0279, Loc: 0.0   , 
обнаружить           Nom: 0.533 , Gen: 0.0   , Dat: 0.0   , Acc: 0.407 , Ins: 0.0495, Loc: 0.0   , 
обеспечивать         Nom: 0.185 , Gen: 0.0   , Dat: 0.0308, Acc: 0.723 , Ins: 0.0554, Loc: 0.0   , 
поддерживать         Nom: 0.223 , Gen: 0.0   , Dat: 0.0   , Acc: 0.733 , Ins: 0.0398, Loc: 0.0   , 
назначить            Nom: 0.289 , Gen: 0.0   , Dat: 0.0166, Acc: 0.183 , Ins: 0.506 , Loc: 0.0   , 
совершить            Nom: 0.329 , Gen: 0.0   , Dat: 0.00296, Acc: 0.564 , Ins: 0.0974, Loc: 0.0   , 
решить               Nom: 0.637 , Gen: 0.0   , Dat: 0.00317, Acc: 0.298 , Ins: 0.058 , Loc: 0.0   , 
привести             Nom: 0.657 , Gen: 0.0   , Dat: 0.00399, Acc: 0.309 , Ins: 0.0229, Loc: 0.0   , 
вызывать             Nom: 0.33  , Gen: 0.0   , Dat: __0.0   , Acc: 0.639 , Ins: 0.0243, Loc: 0.0   , 
посвятить            Nom: 0.184 , Gen: 0.0   , Dat: 0.73  , Acc: 0.0765, Ins: 0.0   , Loc: 0.0   , 
оказывать            Nom: 0.193 , Gen: 0.0   , Dat: 0.11  , Acc: 0.674 , Ins: 0.019 , Loc: 0.0   , 
способствовать       Nom: 0.296 , Gen: 0.0   , Dat: 0.684 , Acc: 0.0   , Ins: 0.0135, Loc: 0.0   , 
подтвердить          Nom: 0.434 , Gen: 0.0   , Dat: 0.0214, Acc: 0.493 , Ins: 0.0492, Loc: 0.0   , 
писать               Nom: 0.633 , Gen: 0.0   , Dat: 0.0197, Acc: 0.316 , Ins: 0.0264, Loc: 0.0   , 
остаться             Nom: 0.771 , Gen: 0.0   , Dat: 0.0134, Acc: 0.0142, Ins: 0.176 , Loc: 0.0   , 
ждать                Nom: 0.392 , Gen: 0.398 , Dat: 0.00257, Acc: 0.194 , Ins: 0.0131, Loc: 0.0   , 
принадлежать         Nom: 0.432 , Gen: 0.0   , Dat: 0.553 , Acc: 0.0   , Ins: __0.0   , Loc: 0.0   , 
играть               Nom: 0.412 , Gen: 0.0   , Dat: 0.0039, Acc: 0.532 , Ins: 0.0459, Loc: 0.0   , 
знать                Nom: 0.465 , Gen: 0.0   , Dat: --0.00797, Acc: 0.489 , Ins: 0.0248, Loc: 0.0   , 
прийти               Nom: 0.911 , Gen: 0.0   , Dat: 0.0262, Acc: 0.0126, Ins: 0.0436, Loc: 0.0   , 
предоставить         Nom: 0.206 , Gen: 0.0   , Dat: 0.219 , Acc: 0.503 , Ins: 0.0636, Loc: 0.0   , 
выйти                Nom: 0.891 , Gen: 0.0   , Dat: 0.00451, Acc: 0.0193, Ins: 0.0748, Loc: 0.0   , 
оставить             Nom: 0.194 , Gen: 0.0   , Dat: 0.0334, Acc: 0.716 , Ins: 0.0473, Loc: 0.0   , 
ввести               Nom: 0.428 , Gen: 0.0   , Dat: 0.00322, Acc: 0.513 , Ins: 0.0467, Loc: 0.0   , 
носить               Nom: 0.317 , Gen: 0.0   , Dat: 0.00215, Acc: 0.666 , Ins: 0.0101, Loc: 0.0   , 
написать             Nom: 0.399 , Gen: 0.0   , Dat: 0.0231, Acc: 0.465 , Ins: 0.105 , Loc: 0.0   , 
создавать            Nom: 0.212 , Gen: 0.0   , Dat: 0.00819, Acc: 0.737 , Ins: 0.0377, Loc: 0.0   , 
# чего ждать белорусам
# принадлежать душой и телом
# каждый раз становится день ото дня - такой винительный падеж есть у многих.
# заниматься каждый день - тоже
